"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bermuda","BMU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.73","39.32","39.05","53.82","37.82","42.27","46.61","50.47","44.6","63.43","68.72","85.95","92.85","85.25","78.76","81.52","84.43","89.8","87.51","87.18","91.58","90.47","103.47","109.83","152.33","","",
"Brazil","BRA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7645.85","9303.48","10498.24","11423.81","12800.36","13914.7","16156.58","17622.42","19845.26","22310.98","28458.07","31032.13","35400.27","38335.13","41501.01","43983.61","47867.35","50027.41","51802.81","52882.71","55010.17","58114.05","61796.95","64376.69","70291.66","","",
"Barbados","BRB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.25","24.5","29.19","28.87","27.79","43.08","38","45.11","54.09","37.07","49.7","49.82","44.99","36.63","29.06","36.23","47.49","41.83","44.89","54.38","54.32","50.16","41.69","49.47","67.79","","",
"Brunei Darussalam","BRN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.91","26.68","41.61","37.16","38.26","32","24.27","36.66","36.67","34.48","41.16","43.31","50.09","50.68","56.82","79.94","114.89","121.77","182.85","171.32","218.41","198.45","288.21","221.81","286.84","","",
"Bhutan","BTN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.46","3.17","2.6","0.96","1.08","1","6.23","3.66","9.36","5.98","17.38","8.58","6.64","11.55","18.79","17.09","16.22","27.2","28.36","25.15","40.99","46.05","52.33","53.63","79.66","","",
"Botswana","BWA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.49","73.06","87.79","88.82","111.88","102.48","121.09","124.09","133.42","123.28","181.31","151.12","164.51","161.66","151.72","164.28","150.69","166.82","193.63","163.74","207.65","232.26","289.75","304.12","329.26","","",
"Central African Republic","CAF","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.37","10.34","13.89","9.82","6.13","6.87","3.72","10.41","10.4","8.36","13.25","8.41","10.14","11.05","14.24","14.1","10.58","12.59","17.22","12.31","27.42","18.62","21.88","16.99","17.32","","",
"Canada","CAN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34829.82","34295.03","33117.69","32493.5","34252.57","33653.44","36459.85","38304.38","42219.28","47311.56","50105.47","51515.11","53341.54","55418.16","56445.35","57416.69","59356.98","59601.41","60186.35","60544.98","60405.13","60547.79","62057.65","62742.71","65821.57","","",
"Central Europe and the Baltics","CEB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28442.05","29131.52","30307.64","31107.24","33683","35550.74","38188.08","40401.71","44109.74","49540.88","52866","57261.23","64385.38","66480.18","70590.41","74236.26","77191.99","78557.53","82334.68","86012.07","86298.59","87739.72","87850.18","91747.48","93070.98","","",
"Switzerland","CHE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11499.01","11877.96","11985.86","11964.4","12621.43","12297.66","12478.85","13163.19","14175.81","15462.68","16469.77","16882.92","17350.51","17905.64","18709.05","19755.56","20769.07","21302.67","21788.24","21848.15","21982.57","22442.37","22189.21","22336.94","23075.04","","",
"Channel Islands","CHI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
