,Country Name,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Inflation, consumer prices (annual %)",Gini index,GDP (current US$),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)",GDP per capita
33,Sweden,2010,87.0703430175781,1.15891003608704,1.15798802715629,27.7,495812558843.31,4.82245509216902,10.3831796646118,28.6425704956055,9378126.0,8.61,2.73,81.4512195121951,3.8033,52869.04428915862
34,Turkiye,2010,46.585880279541,0.343560010194778,8.56644420552977,38.8,776967457763.602,5.10500743782608,1.5528199672699,11.5272998809814,73195345.0,10.66,2.74,75.069,1.7068,10614.984569901297
36,Belgium,2011,80.1013717651367,0.51452998816967,3.53208210722744,28.1,523330354138.137,6.22276976538698,12.9355301856995,29.8061504364014,11038264.0,7.14,6.05,80.5853658536585,2.9219,47410.5669277467
37,Bolivia,2011,47.825538635253906,0.286500006914139,9.88446419823887,46.1,23963162969.3832,9.36407931995113,1.79473996162415,22.445650100707997,10396246.0,2.25,1.07,66.534,0.4671,2304.982295473116
38,Switzerland,2011,96.054557800293,2.97441005706787,0.231349207650894,31.7,715888126682.396,5.67378141368627,18.1987590789795,31.0276508331299,7912398.0,4.41,5.05,82.6951219512195,3.8355,90476.75896515771
39,Cyprus,2011,77.2228317260742,0.5760349929332735,3.28944939564212,32.6,27641551809.0956,5.72467463654588,9.50104999542236,29.8630294799805,1145086.0,7.86,3.51,79.999,2.2484,24139.2802017452
40,Czechia,2011,99.8156204223633,0.504239976406097,1.91721913635547,26.4,229562733398.948,5.51107577546436,14.7503499984741,16.5229301452637,10496088.0,6.71,7.06,77.8731707317073,3.6125,21871.26607541286
42,France,2011,79.8137283325195,0.712890028953552,2.11159795174997,33.3,2865157541994.19,6.93911343109398,8.35151958465576,25.1153106689453,65345233.0,8.81,6.36,82.1146341463415,3.1491,43846.46607648013
43,United Kingdom,2011,99.8556365966797,0.9003350138664246,3.85611244682819,33.2,2666403005061.42,3.34052925512224,8.68155527114868,33.0590400695801,63258810.0,8.04,2.88,80.9512195121951,2.6603,42150.69814088219
45,Greece,2011,64.2316576639811,0.540329992771149,3.3298532335065,34.8,282995942006.559,2.99104425645348,2.40397000312805,20.76022974650063,11104899.0,17.86,4.47,80.7317073170732,5.9234,25483.882564493295
46,Hungary,2011,98.2056579589844,0.5810399949550631,3.92992098935075,29.2,141942264554.475,5.51193618971543,8.01420998573303,20.026969909668,9971727.0,11.03,7.19,74.8585365853659,2.9811,14234.471576936974
47,Israel,2011,85.7394104003906,1.423789978027345,3.48494919760705,41.4,266791854430.897,5.22801580232753,12.33315515518185,44.0789909362793,7765800.0,7.14,3.14,81.6560975609756,3.5123,34354.71611822311
49,Lithuania,2011,91.6342010498047,0.455710008740425,4.13027562645087,32.5,43535051482.3869,8.97816525897928,13.1971502304077,29.2869892120361,3028115.0,15.39,7.43,73.5634146341464,4.0238,14376.947864393163
50,Latvia,2011,98.7891616821289,0.526764988899231,4.37073559939221,35.8,27474380566.265,6.54321049783392,10.7552900314331,25.9194793701172,2059709.0,16.21,5.88,73.5756097560976,3.0837,13338.96223508515
51,Moldova,2011,94.3194732666016,0.0733699984848499,7.68725103356187,30.6,8414351671.7241,8.00622148250186,0.6289849877357485,32.8204803466797,2860699.0,6.68,6.19,69.192,2.4142,2941.3621187423423
54,Netherlands,2011,89.4312515258789,0.5577250123023985,2.3410701775137,27.8,905270626332.693,4.19336980345435,10.31203508377075,28.621509552002,16693074.0,4.98,3.84,81.2048780487805,3.1243,54230.31290298557
56,Pakistan,2011,33.2478218078613,0.4895233313242593,11.9160927116277,29.7,213587517187.669,7.76796887644358,1.7491833368937202,7.36818981170654,198602738.0,0.8,0.6,64.648,0.8311,1075.4510201549638
57,Panama,2011,61.490291595459,0.255290001630783,5.87580249989755,51.3,34686224300.0,12.3599771881362,2.37209010124207,21.3589096069336,3688674.0,4.05,2.27,76.627,1.4976,9403.43990821634
59,Portugal,2011,45.0074005126953,0.452219992876053,3.65301100430729,36.3,245117990242.249,4.2520392743071,13.5167903900146,14.1166296005249,10557560.0,12.68,3.37,80.4707317073171,4.1178,23217.29549652088
61,Romania,2011,88.2002182006836,0.0810699984431267,5.78925328815882,35.9,192613558645.612,4.43558809207205,9.26996040344238,12.7575902938843,20147528.0,7.18,6.31,74.409756097561,2.5153,9560.158380006322
62,Senegal,2011,10.8460102081299,0.274910002946854,3.40322829786967,40.3,17814283649.9367,10.4673398923678,1.15807998180389,2.98130011558533,12875880.0,10.36,0.3,65.262,0.1898,1383.5391173214334
