,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Inflation, consumer prices (annual %)",GDP (current US$),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)",Country Name,Gini index,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty gap at $6.85 a day (2017 PPP) (%),GDP per capita
13688,2011,95.6928405761719,0.03192999958992,16.6363262731496,6197765941.67975,10.1500550943121,15.4475898742676,17.6226501464844,5514600.0,3.022,4.7,69.6024390243903,2.286,Kyrgyz Republic,27.8,19.3,70.6,0.2,3.5,1.3,24.0,1123.8831359808055
13709,2011,91.6342010498047,0.455710008740425,4.13027562645087,43535051482.3869,8.97816525897928,13.1971502304077,29.2869892120361,3028115.0,15.39,7.43,73.5634146341464,4.0238,Lithuania,32.5,1.6,7.0,0.5,0.7,0.7,2.1,14376.947864393163
13711,2011,98.7891616821289,0.526764988899231,4.37073559939221,27474380566.265,6.54321049783392,10.7552900314331,25.9194793701172,2059709.0,16.21,5.88,73.5756097560976,3.0837,Latvia,35.8,3.1,11.2,0.5,1.1,1.0,3.7,13338.96223508515
13716,2011,94.3194732666016,0.0733699984848499,7.68725103356187,8414351671.7241,8.00622148250186,0.6289849877357485,32.8204803466797,2860699.0,6.68,6.19,69.192,2.4142,Moldova,30.6,3.1,27.0,0.0,0.5,0.2,6.4,2941.3621187423423
13725,2011,69.7437286376953,0.256980001926422,2.96298528192878,9638733344.35806,3.47210436141757,4.2263400554657,13.4902200698853,416268.0,6.38,4.38,80.7463414634146,2.2384,Malta,29.1,0.4,0.6,0.1,0.2,0.2,0.3,23155.11484033858
13739,2011,8.36524963378906,0.219449996948242,2.94238514013317,8772950783.02414,8.30701712086658,0.551569998264313,1.70499002933502,17283112.0,0.32,0.35,58.994,0.03568,Niger,31.5,88.3,97.7,19.2,43.3,60.6,67.2,507.6024956051977
13742,2011,89.4312515258789,0.5577250123023985,2.3410701775137,905270626332.693,4.19336980345435,10.31203508377075,28.621509552002,16693074.0,4.98,3.84,81.2048780487805,3.1243,Netherlands,27.8,0.2,0.4,0.1,0.1,0.1,0.2,54230.31290298557
13743,2011,99.5988998413086,0.883610010147095,1.28495158809159,501360549669.404,5.44895932818142,9.68177032470703,32.2336616516113,4953088.0,3.21,4.19,81.2951219512195,4.1921,Norway,25.3,0.1,0.3,0.1,0.1,0.1,0.1,101221.81347664406
13750,2011,33.2478218078613,0.4895233313242593,11.9160927116277,213587517187.669,7.76796887644358,1.7491833368937202,7.36818981170654,198602738.0,0.8,0.6,64.648,0.8311,Pakistan,29.7,51.7,89.1,1.3,13.3,9.6,42.4,1075.4510201549638
13751,2011,61.490291595459,0.255290001630783,5.87580249989755,34686224300.0,12.3599771881362,2.37209010124207,21.3589096069336,3688674.0,4.05,2.27,76.627,1.4976,Panama,51.3,7.3,18.3,0.7,2.4,2.5,7.3,9403.43990821634
13756,2011,81.6829223632813,0.550460010766983,4.23940149625935,524374222547.901,6.03720414903758,18.33111000061035,21.130859375,38063255.0,9.63,6.63,76.6951219512195,2.1997,Poland,33.2,0.9,4.0,0.1,0.3,0.3,1.2,13776.389395701997
