,Country Name,Year,"EA, at least completed lower secondary","EA, Doctoral or equivalent",Poverty headcount ratio at $3.65,Inflation,Poverty headcount ratio at $6.85,Gini index,GDP (current US$),Poverty gap at $2.15,Poverty gap at $3.65,"COD, by injury","EA, at least Master's or equivalent",Poverty headcount ratio at $2.15,"EA, at least completed short-cycle tertiary","Population, total",Population ages 65 and above (% of total population),"COD, by non-communicable diseases",Unemployment,Poverty gap at $6.85,"Hospital beds (per 1,000 people)",Life expectancy,"Physicians (per 1,000 people)","EA, at least completed primary"
14293,Paraguay,2013,46.663818359375,0.187319993972778,6.8,2.68385738718593,23.3,47.9,38651334593.0289,0.6,2.1,12.3529019868978,7.09730005264282,1.8,13.665060043335,6005652.0,5.34755427054381,71.02706944823565,4.38,8.0,1.0666666666666667,72.757,1.2774,74.1911697387695
14299,Romania,2013,89.4360809326172,0.0810699984431267,15.1,3.98471235548128,32.8,36.9,189789277576.061,2.3,5.7,4.04442330649708,9.26996040344238,6.6,13.5286197662354,19983693.0,16.146174334138,92.16995323650185,7.1,14.2,6.67,75.0634146341463,2.624,98.6479721069336
14309,El Salvador,2013,41.037971496582,0.0388000011444092,14.2,0.7576691845229,42.7,43.4,21990960000.0,0.9,4.0,20.07335587747165,0.263790011405945,3.6,10.1643600463867,6185642.0,7.15356569669198,64.68263497655585,3.69,15.6,1.07,71.771,1.5662,56.4069786071777
14312,Serbia,2013,85.7873001098633,0.283309996128082,11.6,7.69426362896666,28.3,39.5,48394239474.6762,3.2,5.5,3.29628637409932,0.76172000169754,5.8,18.215030670166,7164132.0,18.4587009182566,94.56488970541776,22.15,12.0,5.5,75.1853658536585,2.4945,95.1797866821289
14319,Slovak Republic,2013,99.2826919555664,0.686707997322082,1.2,1.40047368963031,4.1,28.1,98935222174.8611,0.2,0.4,5.69482990552947,16.917659950256358,0.3,17.8810997009277,5413393.0,13.3627770424392,89.41426080121575,14.22,1.5,5.8,76.4121951219512,3.3855,99.7522964477539
14320,Slovenia,2013,97.1484069824219,2.1120149493217477,0.1,1.76920085881896,0.4,26.2,48415657264.8762,0.0,0.0,7.33255210813689,14.421090126037626,0.0,24.8217792510986,2059953.0,17.0364236772842,88.41720015531476,10.1,0.1,4.55,80.3219512195122,2.6252,99.8703765869141
14321,Sweden,2013,88.9272308349609,1.15891003608704,0.8,-0.0442929701486557,1.3,28.8,586841821796.891,0.5,0.6,4.990884779030055,10.3831796646118,0.7,30.5116901397705,9600379.0,19.1721529387916,89.80276139688641,8.05,0.8,2.59,81.9560975609756,4.0365,100.0
14342,Turkiye,2013,52.6753196716309,0.343560010194778,2.7,7.49309030547697,13.8,40.2,957798998031.277,0.1,0.6,5.39842011797903,1.5528199672699,0.3,14.8832502365112,76576117.0,6.75568724152148,88.79291259070561,8.73,3.8,2.65,76.297,1.7619,87.2976989746094
14348,Uruguay,2013,52.3144111633301,0.0611100010573864,1.1,8.57513504005395,7.4,40.5,61337620935.5305,0.0,0.2,7.051313872168345,1.40601003170013,0.2,11.7874202728271,3381180.0,14.6018528144238,85.3707782015654,6.44,1.9,2.49,77.24,4.4478,88.6246490478516
14369,Albania,2014,86.2205581665039,0.0896200016140938,9.7,1.62586504402607,38.7,34.6,13228147516.1168,0.1,2.1,5.13416760461897,11.437505245208751,1.0,12.451145172119102,2889104.0,13.0981497880449,91.758577776078,18.05,12.5,2.91,78.407,1.2436800000000001,95.67793273925786
14377,Australia,2014,91.8276672363281,1.13743996620178,0.7,2.48792270531403,1.0,34.4,1467589901175.46,0.4,0.4,5.722820139922535,6.36214017868042,0.5,39.5234184265137,23475686.0,14.6647706236066,90.01515469444355,6.08,0.6,3.79,82.3,3.4314,99.8854751586914
14381,Belgium,2014,82.3405303955078,0.49465999007225,0.1,0.340002833356965,0.3,28.1,535390200131.009,0.1,0.1,6.211664640783519,13.4917602539063,0.1,31.5528507232666,11209057.0,18.0157189186848,86.19654165212685,8.52,0.1,5.85,81.2878048780488,2.9723,93.8728332519531
14383,Burkina Faso,2014,8.48834991455078,0.0,74.2,-0.258089517535353,92.9,35.3,13943016080.2646,9.5,30.3,8.90441538627895,0.0,39.6,0.0,18169842.0,2.63675923442925,29.653579196610202,4.206,56.6,0.4,58.359,0.0487,14.7087001800537
14392,Bolivia,2014,51.923828125,0.251570001244545,9.0,5.7666007457914,20.2,47.8,32996188017.3661,1.9,3.8,9.121431773520971,1.4216749668121351,4.3,25.326609611511202,10916987.0,4.86577455548062,67.43513760334329,2.02,8.7,1.15,67.163,0.8814,58.5779991149902
14393,Brazil,2014,56.3307189941406,0.22644000252087934,8.6,6.32904015516142,24.3,52.0,2456043766063.5,1.1,3.1,12.805717052335751,0.843143343925476,3.3,13.1573696136475,203459650.0,7.657442869735,73.1941417687726,6.76,9.2,2.22,74.306,1.9654333333333334,76.9018630981445
