,Poverty headcount ratio at $3.65,Poverty headcount ratio at $6.85,Poverty gap at $2.15,Poverty gap at $3.65,Poverty headcount ratio at $2.15,Poverty gap at $6.85
302,4.0,13.9,0.6,1.4,1.5,4.8
303,0.1,0.2,0.0,0.0,0.0,0.1
304,0.0,0.2,0.0,0.0,0.0,0.1
305,0.2,0.2,0.0,0.0,0.0,0.1
306,4.2,22.2,0.2,0.9,0.8,6.3
307,1.2,2.7,0.6,0.8,0.8,1.3
308,0.5,1.1,0.2,0.3,0.2,0.5
309,0.1,0.1,0.0,0.0,0.0,0.1
310,0.5,0.7,0.3,0.4,0.5,0.5
311,0.3,3.7,0.1,0.1,0.1,0.8
312,0.7,2.8,0.1,0.2,0.2,1.0
313,26.4,62.8,0.8,6.7,5.4,25.5
314,1.0,3.2,0.2,0.4,0.5,1.0
315,2.1,3.2,1.0,1.3,1.5,2.0
316,0.9,3.0,0.2,0.4,0.4,1.1
317,9.4,31.1,0.7,2.8,2.6,10.7
318,7.1,20.8,1.2,2.8,3.4,7.8
319,0.2,0.3,0.1,0.1,0.1,0.2
320,6.9,38.3,0.1,1.3,0.7,10.9
321,0.2,3.4,0.0,0.0,0.0,0.6
322,0.2,0.4,0.1,0.1,0.1,0.2
323,0.3,0.5,0.2,0.2,0.3,0.3
324,39.8,84.5,0.6,9.0,4.9,36.3
325,4.4,12.5,0.4,1.4,1.4,4.7
326,0.4,1.4,0.1,0.2,0.2,0.5
327,0.7,2.1,0.2,0.3,0.3,0.8
328,5.8,19.6,0.3,1.6,1.4,6.6
329,5.9,17.2,1.5,2.7,2.9,6.6
330,1.3,3.4,0.1,0.3,0.2,1.3
331,0.0,0.1,0.0,0.0,0.0,0.0
332,0.9,1.4,0.6,0.7,0.7,0.9
333,1.4,10.9,0.0,0.3,0.0,2.6
334,1.2,1.7,0.9,1.0,1.0,1.2
335,0.1,0.2,0.1,0.1,0.1,0.1
336,5.7,15.5,0.6,1.9,1.9,5.8
337,10.8,26.2,2.1,4.5,5.4,11.0
338,3.5,13.7,0.4,1.1,1.1,4.3
339,0.2,0.3,0.2,0.2,0.2,0.2
340,0.0,0.3,0.0,0.0,0.0,0.1
341,0.2,0.2,0.0,0.0,0.0,0.1
342,3.5,20.2,0.2,0.9,0.8,5.6
343,1.1,2.8,0.6,0.7,0.8,1.2
344,0.9,1.4,0.3,0.5,0.6,0.8
345,0.1,0.4,0.0,0.0,0.1,0.1
346,0.5,0.7,0.2,0.4,0.5,0.5
347,1.3,3.9,0.4,0.7,0.7,1.5
348,0.9,2.5,0.1,0.3,0.3,0.9
349,24.7,61.9,0.6,6.0,4.4,24.5
350,1.3,2.6,0.8,0.9,1.0,1.4
351,0.8,2.6,0.2,0.3,0.2,0.9
352,0.1,0.4,0.0,0.1,0.1,0.1
353,0.3,0.5,0.1,0.2,0.2,0.2
354,3.7,12.1,0.4,1.1,1.0,4.3
355,0.2,0.8,0.0,0.1,0.1,0.2
356,0.2,1.5,0.1,0.1,0.1,0.4
