,Country Name,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),"Inflation, consumer prices (annual %)",Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Gini index,GDP (current US$),Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total",Population ages 65 and above (% of total population),"Cause of death, by non-communicable diseases (% of total)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Poverty gap at $6.85 a day (2017 PPP) (%),"Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
13751,Panama,2011,61.490291595459,0.255290001630783,7.3,5.87580249989755,18.3,51.3,34686224300.0,0.7,2.4,12.3599771881362,2.37209010124207,2.5,21.3589096069336,3688674.0,6.62335570993804,69.8754188149835,4.05,7.3,2.27,76.627,1.4976,82.6293563842773
13756,Poland,2011,81.6829223632813,0.53396999835968,0.9,4.23940149625935,4.0,33.2,524374222547.901,0.1,0.3,6.03720414903758,17.9176807403564,0.3,21.130859375,38063255.0,13.6117328032707,90.0074379648155,9.63,1.2,6.63,76.6951219512195,2.1997,98.5763931274414
13761,Paraguay,2011,40.75696563720703,0.11991499736905079,12.9,8.25396825396825,32.2,52.3,33737033607.0615,1.6,4.7,12.6445081776989,5.85250997543335,5.0,11.443086624145517,5843939.0,5.15943999068436,69.0770586906766,4.67,13.0,1.36,72.131,1.2774,69.01353327433267
13787,Slovak Republic,2011,99.29273223876956,1.06246995925903,0.9,3.91928599146294,3.0,26.5,99922685424.8842,0.2,0.4,5.30436121699577,16.503719329834,0.4,20.6499996185303,5398384.0,12.708990048364,89.637049547929,13.62,1.1,6.05,75.9585365853659,3.2999,99.8702392578125
13789,Sweden,2011,87.7039489746094,1.15891003608704,0.8,2.96115073822139,1.4,27.6,574094112972.733,0.4,0.5,4.82245509216902,10.3831796646118,0.6,29.2780895233154,9449213.0,18.5975592527506,90.6386642834919,7.8,0.8,2.7,81.8024390243903,3.8821,100.0
13810,Turkiye,2011,49.7481307983398,0.343560010194778,4.0,6.47187967115097,15.9,40.0,838785514058.562,0.0,0.8,5.10500743782608,1.5528199672699,0.1,12.7643203735352,74173854.0,6.47765923016485,88.822879774528,8.8,4.8,2.62,74.941,1.716,86.4667892456055
13837,Albania,2012,87.2148971557617,0.0896200016140938,4.8,2.03159268395298,36.7,29.0,12319834233.2904,0.1,1.0,6.14152050888872,12.3307304382324,0.6,12.8996601104736,2900401.0,12.3209619828276,90.5993497247237,13.38,9.5,2.88,78.064,1.2683,95.5083923339844
13849,Belgium,2012,80.2901916503906,0.51452998816967,0.2,2.83966343445897,0.5,27.5,496152879924.727,0.1,0.2,6.22276976538698,12.9355301856995,0.2,30.4177799224854,11106932.0,17.5984539040595,86.4912296118674,7.54,0.2,5.99,80.3853658536585,2.9393,92.4942398071289
13860,Bolivia,2012,51.923828125,0.286500006914139,11.0,4.51560291399368,23.7,46.6,27084497481.9103,3.0,5.4,9.36407931995113,1.79473996162415,6.5,24.0322399139404,10569697.0,4.84169508359606,64.6162738997523,2.07,10.9,1.1,66.705,0.4528,58.5779991149902
13864,Bhutan,2012,9.59809970855713,0.0838999971747398,11.9,10.919656944683,44.9,38.8,1781280170.44296,0.3,2.6,9.12143561086106,0.745790004730225,1.7,4.54776000976563,721145.0,5.3401844704016,63.5239192364032,2.05,14.9,1.74,69.326,0.2765,20.4290790557861
